seed,dataset,target,model,selector,apparent_r2,nested_r2,bias,apparent_rmse,nested_rmse,bias_rmse,apparent_mae,nested_mae,bias_mae
7,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
8,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
9,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
10,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
11,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
0,ryckewaert,chlorophyll,pls,ga,0.8861541941376332,0.7854861936227902,0.10066800051484304,3.1385322548237484,4.287762720625502,1.1492304658017538,2.315706712371958,3.1427786028049183,0.8270718904329604
1,ryckewaert,chlorophyll,pls,ga,0.8860651364972998,0.7666892933278945,0.1193758431694053,3.139759597514021,4.463888089273449,1.3241284917594278,2.356116284985979,3.229320428648241,0.873204143662262
2,ryckewaert,chlorophyll,pls,ga,0.883756994853746,0.7787257169320883,0.10503127792165778,3.171403439997067,4.351832595501432,1.1804291555043651,2.354322133001885,3.127246098239115,0.7729239652372302
3,ryckewaert,chlorophyll,pls,ga,0.88629587153913,0.7812123699141844,0.10508350162494562,3.1365787462245525,4.32915427664696,1.192575530422408,2.3114439918340577,3.165876444460683,0.8544324526266251
4,ryckewaert,chlorophyll,pls,ga,0.8816993220968121,0.7720823696359078,0.1096169524609043,3.199349571376336,4.430818857803416,1.2314692864270804,2.373721345218225,3.1457070157305096,0.7719856705122847
5,ryckewaert,chlorophyll,pls,ga,0.8860472225051097,0.7966016374339395,0.08944558507117017,3.140006420200584,4.155277353292253,1.015270933091669,2.331111973697034,3.121368923888796,0.790256950191762
6,ryckewaert,chlorophyll,pls,ga,0.8849621892710949,0.7984435098469103,0.08651867942418467,3.1549202273777346,4.121255098167625,0.9663348707898902,2.327015919805256,3.0683589629420047,0.7413430431367489
7,ryckewaert,chlorophyll,pls,ga,0.8857022928609538,0.7981146418588686,0.08758765100208521,3.144755154501614,4.12059443020572,0.9758392757041054,2.2943744026520982,3.0164137507008646,0.7220393480487663
8,ryckewaert,chlorophyll,pls,ga,0.8876680558114692,0.7832523141051263,0.10441574170634293,3.117595143264941,4.281323157046651,1.1637280137817099,2.315838012291036,3.1595566225913,0.8437186103002641
9,ryckewaert,chlorophyll,pls,ga,0.8814907963109877,0.7920386397540203,0.08945215655696737,3.2021680385362874,4.195064042733015,0.9928960041967274,2.359137973899596,3.1255465122222508,0.7664085383226547
10,ryckewaert,chlorophyll,pls,ga,0.8857826298948018,0.7532030716697357,0.13257955822506617,3.14364977488867,4.636947192890116,1.4932974180014456,2.331483733322677,3.2526523114886308,0.9211685781659535
11,ryckewaert,chlorophyll,pls,ga,0.8853961181744776,0.7563621145858084,0.12903400358866923,3.1489643399065472,4.585220198988806,1.4362558590822592,2.3530672829771704,3.212305188903768,0.8592379059265975
0,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
1,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
2,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
3,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
4,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
5,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
6,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
7,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
8,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
9,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
10,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
11,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8531390173554021,0.016310061488570726,3.3609190221474265,3.5285696293457764,0.1676506071983499,2.4531630594405724,2.587703666843803,0.1345406074032307
0,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
1,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
2,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
3,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
4,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8444969567351859,0.012288774597307262,3.5201504320614525,3.6355824550227163,0.11543202296126376,2.4465577755416597,2.554771227450266,0.1082134519086062
5,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
6,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
7,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
8,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
9,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
10,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
11,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8450349834152282,0.011750747917264937,3.5201504320614525,3.629421616160948,0.10927118409949532,2.4465577755416597,2.545048622559999,0.09849084701833943
0,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
1,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
2,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
3,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
4,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
5,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
6,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
7,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
8,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
9,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
10,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
11,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8372044852813227,0.016349310588120947,3.5596486863690466,3.7262854150614766,0.16663672869242996,2.5139467755291096,2.691164894901837,0.17721811937272758
0,ryckewaert,flavonol,lightgbm,ga,0.5631977417555818,0.29818015163341327,0.2650175901221685,0.3795718949968605,0.47521930859274447,0.09564741359588397,0.30164161995582356,0.3760606286045976,0.07441900864877404
1,ryckewaert,flavonol,lightgbm,ga,0.5630686675206681,0.3226826287925094,0.24038603872815867,0.3796279722403048,0.46723875808546905,0.08761078584516424,0.3024488641149035,0.36894387224147074,0.06649500812656722
2,ryckewaert,flavonol,lightgbm,ga,0.583317455998253,0.3148253283998705,0.26849212759838254,0.3707270403728255,0.47020742438623897,0.09948038401341347,0.29109330744761547,0.37028837340067466,0.0791950659530592
3,ryckewaert,flavonol,lightgbm,ga,0.5461144310625785,0.30325022182654837,0.24286420923603014,0.386923224121649,0.47519576920006396,0.08827254507841498,0.3035673457162804,0.37692265488517634,0.07335530916889593
4,ryckewaert,flavonol,lightgbm,ga,0.5913639741173422,0.35196044443040214,0.23940352968694006,0.36713005262746534,0.45701534491106327,0.08988529228359793,0.2912148827371308,0.3526324384712218,0.06141755573409097
