seed,dataset,target,model,selector,apparent_r2,apparent_r2_std,nested_r2,bias,apparent_rmse,apparent_rmse_std,nested_rmse,nested_rmse_std,bias_rmse,apparent_r2_pooled,apparent_rmse_pooled,nested_rmse_pooled,bias_pooled
8,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
9,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
10,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
11,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
0,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6488300803113706,-0.011789102981605182,3.8524456501216937,0.5357167003031593,3.8768366437556727,0.304447251663795,0.024390993633979008,0.6892434936978041,3.902843313868925,3.902461589431011,0.04041341338643356
1,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6488300803113706,-0.011789102981605182,3.8524456501216937,0.5357167003031593,3.8768366437556727,0.304447251663795,0.024390993633979008,0.6892434936978041,3.902843313868925,3.902461589431011,0.04041341338643356
2,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6502961329714809,-0.013255155641715533,3.8524456501216937,0.5357167003031593,3.859164385113457,0.31521946480855817,0.006718734991763231,0.6892434936978041,3.902843313868925,3.8850676701548283,0.03894736072632321
3,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6376909549067291,-0.0006499775769637228,3.8524456501216937,0.5357167003031593,3.9605560236645907,0.3537641669487864,0.10811037354289699,0.6892434936978041,3.902843313868925,3.993307005907861,0.05155253879107502
4,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6362223178974024,0.0008186594323630336,3.8524456501216937,0.5357167003031593,3.967356317352472,0.35704437153763924,0.11491066723077825,0.6892434936978041,3.902843313868925,4.0006359571760495,0.053021175800401776
5,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6376909549067291,-0.0006499775769637228,3.8524456501216937,0.5357167003031593,3.9605560236645907,0.3537641669487864,0.10811037354289699,0.6892434936978041,3.902843313868925,3.993307005907861,0.05155253879107502
