seed,dataset,target,model,selector,apparent_r2_pooled,nested_r2_pooled,bias_pooled
10,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
11,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
0,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.32698018032966936,-0.011934003017103567
1,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.32447751819905934,-0.009431340886493556
2,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.31467625494820384,0.00036992236436195203
3,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.3195227373715155,-0.004476560058949697
4,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.3196310357757476,-0.004584858463181796
5,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.3210262034657747,-0.005980026153208917
6,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.32447751819905934,-0.009431340886493556
7,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.32447751819905934,-0.009431340886493556
8,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.3196310357757476,-0.004584858463181796
9,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.32447751819905934,-0.009431340886493556
10,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.3171283736451377,-0.002082196332571895
11,ryckewaert,flavonol,lightgbm,mutual_info,0.3150461773125658,0.31217359281759394,0.0028725844949718526
0,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
1,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
2,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
3,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
4,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
5,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
6,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
7,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
8,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
